video_name,frame_no,LED_no,x,y,threshold
Stellar_Phase2_60_R.mp4,102,2,697,23,245
Stellar_Phase2_60_R.mp4,102,3,715,22,245
Stellar_Phase2_60_R.mp4,102,4,736,22,245
Stellar_Phase2_60_R.mp4,102,5,756,23,245
Stellar_Phase2_60_R.mp4,102,6,778,23,245
Stellar_Phase2_60_R.mp4,102,7,794,20,245
Stellar_Phase2_100_L.mp4,116,1,677,25,245
Stellar_Phase2_100_L.mp4,116,2,697,24,245
Stellar_Phase2_100_L.mp4,116,3,716,23,245
Stellar_Phase2_100_L.mp4,116,4,734,21,245
Stellar_Phase2_100_L.mp4,116,5,754,24,245
Stellar_Phase2_100_L.mp4,116,6,775,22,245
Stellar_Phase2_100_L.mp4,116,7,794,21,245
Stellar_Phase2_100_R.mp4,149,1,677,26,245
Stellar_Phase2_100_R.mp4,149,2,697,23,245
Stellar_Phase2_100_R.mp4,149,3,714,23,245
Stellar_Phase2_100_R.mp4,149,4,735,22,245
Stellar_Phase2_100_R.mp4,149,5,756,24,245
Stellar_Phase2_100_R.mp4,149,6,775,23,245
Stellar_Phase2_100_R.mp4,149,7,794,21,245
Stellar_Phase2_140_L.mp4,122,1,679,25,245
Stellar_Phase2_140_L.mp4,122,2,698,23,245
Stellar_Phase2_140_L.mp4,122,3,717,23,245
Stellar_Phase2_140_L.mp4,122,4,735,20,245
Stellar_Phase2_140_L.mp4,122,5,754,23,245
Stellar_Phase2_140_L.mp4,122,6,774,23,245
Stellar_Phase2_140_L.mp4,122,7,792,23,245
Stellar_Phase2_140_R.mp4,141,1,681,25,245
Stellar_Phase2_140_R.mp4,141,2,698,23,245
Stellar_Phase2_140_R.mp4,141,3,715,22,245
Stellar_Phase2_140_R.mp4,141,4,733,21,245
Stellar_Phase2_140_R.mp4,141,5,757,23,245
Stellar_Phase2_140_R.mp4,141,6,776,23,245
Stellar_Phase2_140_R.mp4,141,7,794,23,245
Theo_Phase1_60_Both.mp4,5504,1,683,50,245
Theo_Phase1_60_Both.mp4,5504,2,709,50,245
Theo_Phase1_60_Both.mp4,5504,3,724,57,245
Theo_Phase1_60_Both.mp4,5504,4,745,57,245
Theo_Phase1_60_Both.mp4,5504,5,766,58,245
Theo_Phase1_60_Both.mp4,5504,6,790,61,245
Theo_Phase1_60_Both.mp4,5504,7,819,62,245
Theo_Phase1_100_Both.mp4,134,1,680,47,245
Theo_Phase1_100_Both.mp4,134,2,705,49,245
Theo_Phase1_100_Both.mp4,134,3,721,56,245
Theo_Phase1_100_Both.mp4,134,4,741,56,245
Theo_Phase1_100_Both.mp4,134,5,764,56,245
Theo_Phase1_100_Both.mp4,134,6,785,61,245
Theo_Phase1_100_Both.mp4,134,7,810,64,245
Theo_Phase1_140_Both.mp4,166,1,682,47,245
Theo_Phase1_140_Both.mp4,166,2,704,52,245
Theo_Phase1_140_Both.mp4,166,3,721,54,245
Theo_Phase1_140_Both.mp4,166,4,740,56,245
Theo_Phase1_140_Both.mp4,166,5,764,60,245
Theo_Phase1_140_Both.mp4,166,6,787,61,245
