video_name,frame,fingertip,tip2dip,tip2pip,tip2mcp,tip2wrist,disp,velocity_size,velocity_disp,acceleration_disp,distance_cm,is_hovering,video_index
Schubert - Serenade (arr. Liszt).mp4,120,index,4.0,14.560219778561036,47.43416490252569,122.10241602851272,1.0,47.07797800887049,1.797518094067759,0.07975180940677595,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,121,index,4.0,13.601470508735444,47.43416490252569,122.10241602851272,0.0,47.05352257979323,1.6477249195621126,0.14979317450564644,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,122,index,5.0,15.297058540778355,49.040799340956916,123.14625451064275,1.4142135623730951,47.13563838889333,1.6297625074706497,0.017962412091462987,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,123,index,5.0,14.317821063276353,48.08326112068523,122.14745187681976,1.0,47.153602326486336,1.584779471222746,0.04498303624790356,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,124,index,4.0,14.317821063276353,46.17358552246078,121.1486689980538,1.0,47.104030097783756,1.5457941731412297,0.038985298081516406,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,125,index,3.1622776601683795,12.649110640673518,47.12748667179272,119.06720791217035,3.605551275463989,47.00387326174735,1.6745289920364022,-0.12873481889517246,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,126,index,1.0,7.211102550927978,42.720018726587654,113.03981599418853,6.082762530298219,46.650276853287274,1.9338368472282739,-0.2593078551918717,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,127,index,1.0,8.94427190999916,44.384682042344295,116.01724009818541,1.0,46.42451416769533,1.8819570223822586,0.05187982484601528,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,128,index,1.4142135623730951,10.295630140987,44.77722635447622,116.0,1.4142135623730951,46.25068539647237,1.857338945539671,0.024618076842587655,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,129,index,1.0,10.295630140987,44.77722635447622,115.00434774390054,2.0,46.076616179640794,1.8644719982626874,-0.007133052723016453,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,130,index,2.23606797749979,12.083045973594572,45.31004303683677,116.0,1.4142135623730951,45.97331489713328,1.8430311203631828,0.02144087789950455,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,131,index,2.23606797749979,12.083045973594572,46.238512086787566,117.0,0.0,45.90131906133042,1.7592569785284928,0.08377414183469001,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,132,index,2.23606797749979,12.083045973594572,45.69463863518345,117.00427342623003,1.0,45.829718515321574,1.726245805548993,0.03301117297949974,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,133,index,2.23606797749979,12.083045973594572,45.31004303683677,116.00431026474836,0.0,45.74966219439858,1.6543188969844518,0.07192690856454131,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,134,index,2.23606797749979,11.661903789690601,46.09772228646444,116.00431026474836,1.0,45.67967574980666,1.6281461411050737,0.026172755879378062,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,135,index,1.4142135623730951,11.180339887498949,44.77722635447622,116.0,1.4142135623730951,45.37685147704581,1.6847146835999973,-0.0565685424949236,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,136,index,2.23606797749979,5.830951894845301,41.6293165929973,112.0044641967453,4.123105625617661,44.9995273947093,1.581310751324729,0.10340393227526823,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,137,index,7.0710678118654755,19.209372712298546,50.24937810560445,119.26860441876563,10.0,45.01347744145405,1.8918680322247377,-0.31055728090000856,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,138,index,6.4031242374328485,19.1049731745428,49.73932046178355,117.15374513859982,1.4142135623730951,45.12002011480356,1.8284365747196614,0.06343145750507628,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,139,index,5.656854249492381,17.69180601295413,48.877397639399746,116.15506876585283,1.0,45.12795063314215,1.8118680322247374,0.01656854249492401,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,140,index,5.0,17.029386365926403,48.76474136094644,115.06954418958998,2.0,45.15905778879187,1.8518680322247376,-0.04000000000000026,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,141,index,7.211102550927978,21.095023109728988,52.80151512977634,119.06720791217035,4.0,45.3168482030584,1.9718680322247377,-0.1200000000000001,115.8625,False,6
